SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
Andrew Gardner;24-Jun;1742;KO; ;William Pateman; ; ;pateman;Chelsea;London;England;ND;"Newcastle (England) Courant, June 25, 1742; Ipswich (England) Journal, July 2, 1742. Cause of death was a blow to the temples. Gardner was arrested, along with his father (who abetted the fight)."; ;Pro;Brain injury;Ring;;;
ND;21-Jul;1748;KO; ;ND ; ; ;nd;London;London;England;ND;Derby (England) Mercury, July 28, 1748. Two servants boxed a match lasting about three quarters of an hour. One of them died about an hour afterwards.; ;Pro;;Ring;;;
ND;2-Dec;1749;KO ; ;ND ; ; ;nd;Perth Amboy;New Jersey;British North America;ND;"New-York (New York) Gazette, December 4, 1749. Two seamen decided to try a ""Tryal of Skill at Boxing."" Afterwards, they went back inside the bar, and drank some more. Then one of the fighters died. The other promptly fled."; ;Pro;Brain injury;Soon after; ;;
Charles Troop;6-Jun;1751;KO; ;George Bartholomew; ; ;bartholomew;London;London;England;ND;"Derby (England) Mercury, June 13, 1751; Old Bailey Proceedings Online (www.oldbaileyonline.org, version 6.0, 05 December 2011), July 1751, trial of Charles Troop (t17510703-39).The pair met in an alehouse, and then fought for a prize of a shilling, a coin worth 1/20th of a pound, meaning its current money would be about œ6. The men took off their shirts and waistcoats, and shook hands. Their fight lasted about twenty minutes. There were several knockdowns, and once, Troop fell on top of Bartholomew, with a knee in his guts. The crowd called shame, but the fight continued. Bartholomew lost. He was carried home in a coach. His wife said he was bruised all over, ""as black as a negro."" He died next morning. There was a large contusion on his scrotum, and a skull fracture. Troop was convicted of manslaughter, and sentenced to branding."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
ND;1-Jan;1752;KO; ;ND ; ; ;ND;London;London;England;ND;Derby (England) Mercury, January 2, 1752. A chairman and a groom agreed to a prize fight for a prize of a guinea. They met at Hyde Park, and boxe. The groom died. The chairman was arrested.; ;Pro; ;Ring; ;;
John Hudson;28-Dec;1753;KO; ;Thomas Moss; ; ;moss;White Conduit Fields;London;England;ND;"(London) Read's Weekly Journal or British Gazetteer, January 12, 1754;  Old Bailey Proceedings Online (www.oldbaileyonline.org), John Hudson, killing: murder, 16th January, 1754. The Proceedings of the Old Bailey Ref: t17540116-40. The two men agreed to fight, for a prize of a leg of mutton, turnips, and some beer, to the value of a crown. They boxed between a quarter and a half an hour. Moss led at first, but then Hudson began knocking him down. Moss was asked if he wanted to quit. ""I will fight,"" he said, standing up, arms at his side. So, Hudson knocked him down again. This time he did not get up, and blood was streaming from his ears and mouth. Moss's friends carried home, on their backs. He was put to bed, but he was already dead. The surgeon said cause of death was extravasated blood in the brain. Hudson was convicted of manslaughter."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
Thomas Faulkner;5-Aug;1758;KO;;George Taylor; ;Y;taylor;St. Albans;Hertfordshire;England;Heavy;"Bob Mee, Bare Fists: The History of Bare-Knuckle Prize Fighting (Woodstock, New York: Overlook Press, 2001), 20; H.B. Wheatley, Hogarth's London, Pictures of the Manners of the Eighteenth Century (London: Constable and Company Ltd., 1909), 149. Taylor, who was blind in one eye prior to the fight, lost sight in his good eye during the fight, and died of injuries in December 1758. ";English;Pro;;Later;; ;
William Smith;ND;1761;KO; ;William Alsop; ; ;alsop;London;London;England;ND;Derby (England) Mercury, May 7, 1761. Smith was found guilty of manslaughter, and sentenced to branding.; ;Pro; ;Ring;;;
Nicholas McCabe;ND;1764;KO; ;Patrick Smith; ; ;smith ;Bloomsbury ;London;England;ND;Derby (England) Mercury, June 7, 1764.  The bout took place near Montagu House. Cause of death was given as broken neck.; ;Pro;Broken neck;Ring;Manslaughter;;
"John ""Jack"" Warren";9-Apr;1765;KO;;Phillip Juchau; ;Y;juchau;Moorfields;London;England;Heavy;"Pierce Egan, Boxiana, London, 1812, 79; Pancratia, or a History of Pugilism, London, Hildyard, 1812, 56; Editors of Bell's Life, Fistiana: Or, The Oracle of the Ring, London, 1841, 265; Mee, 2001, 24; London Encyclopaedia, edited by Ben Weinreb and Christopher Hibbert (Bethesda, Maryland: Adler & Adler, 1986), 526. Juchau was thrown by a cross-buttock. He struck his head on a paving stone, and he died."; ;Pro;Brain injury;Ring;Fall; ;
Thomas Bradby;Sep/;1765;KO; ;Murphy; ; ;murphy;Tothill Fields;London;England;ND;(London) Lloyd's Evening Post, September 9, 1765. The jury's verdict was manslaughter.; ;Pro; ;Ring;Blows: Manslaughter;;
George Lovell (Gipsey George);29-Jul;1768;KO; ;Richard Berry; ; ;berry;St. Gile's;London;England;ND;"(London) Gazetteer and New Daily Advertiser, August 4, 1768; Old Bailey Proceedings Online (www.oldbaileyonline.org), George Lovell, otherwise Gipsey George, killing, 7th September, 1768. The Proceedings of the Old Bailey Ref: t17680907-84. While watching a prizefight, Lovell and Murphy had an argument. So, following the main event, the men stripped to the waist and entered the ring themselves. Murphy was soon knocked down, and Lovell began to leave the ring, but Murphy's second told Lovell to come back. So he did, and the fight resumed. Murphy was soon knocked down again, but this time, he did not get back up, and he died within the half hour. The jury ruled manslaughter."; ;Pro; ;Ring;Blows: Manslaughter;;
Grant;27-Aug;1777;KO; ;Skinner; ; ;skinner;Lambeth;London;England;ND;(London) Evening Post, Skinner was a paver and Grant was a butcher. The bout lasted about 45 minutes. Skinner died while being taken home. Grant was also badly battered.; ;Pro; ;Ring;;;
Matthew Alefleet;ND;1781;KO; ;Hardy; ; ;hardy;Norwich;Norfolk;England;ND;Ipswich (England) Journal, August 10, 1781. Alefleet was convicted of manslaugher. The seconds were acquitted.; ;Pro; ;Ring;Manslaughter;;
William Tower;22-Nov;1784;KO;;Bill Day; ;;day;Barnet;London;England;ND;"Pierce Egan, Boxiana, London, 1812, 488-489; Pancratia, or a History of Pugilism, London, Hildyard, 1812, 68-69. Day was dancing about, said Egan, ""till at length TOWERS caught him in one corner of the stage, and held him fast by one hand, while with the other he nearly annhilated DAY."" The bout lasted 33 minutes, and Day died shortly afterward of his injuries. "; ;Pro;;Later;; ;
ND;Apr/;1786; KO; ;ND ; ; ;ND;Glochester;Gloucestershire;England;ND;Bath (England) Chronicle and Weekly Gazette, April 19, 1786. Two soldiers of the 35th Regiment decided to hold a boxing atch. One died. ; ;Pro; ;Ring;;;
ND;Jul/;1786;KO; ;ND ; ; ;ND;Kentish Town;London;England;ND;The bout took place near Mother Black Cap's pub. The bout lasted about fifty minutes, and ended with a blow to the stomach.; ;Pro; ;Ring;;;
Robert Jones;22-Sep;1786;KO; ;James Barrett; ; ;barrett;London;London;England;ND;"(London) Morning Chronicle and London Advertiser, November 1, 1786;  Old Bailey Proceedings Online (www.oldbaileyonline.org), ROBERT JONES, killing: manslaughter, 25th October, 1786. The Proceedings of the Old Bailey Ref: t17861025-70.  The men were hackney coachmen who decided to settle a quarrel through a prizefight. They fought for about a quarter of an hour. Barrett fell, and died a few hours later. The surgeon said the brain appeared normal, but there was about a pint of blood in the abdomen, on the left side. The injury was associated with a fall on paving stones. Jones was convicted of manslaughter, and fined a shilling and ordered to serve a week's imprisonment."; ;Pro;Internal injuries;Ring;Fall: Manslaughter;;
John Clayton;26-Mar;1788;KO;;Samuel Fewster; ; ;fewster;Moorfields;London;England;ND;"(London) Public Advertiser, April 7, 1788; Old Bailey Proceedings Online (www.oldbaileyonline.org). JOHN CLAYTON, killing: murder, 2nd April, 1788. The Proceedings of the Old Bailey Ref: t17880402-73. The prisoner was fined 20 shillings, a sum roughly equivalent to œ110 today, and discharged.";;Pro;;Ring ;Blows: Manslaughter;;
Thomas Tyne;6-Aug;1788;KO;;William Earle; ;Y;earle;Brighton;East Sussex;England;Heavy;"(London) Star, July 7, 1788; ""Some Selected Reports from the Salisbury & WInchester Journal,"" August 18, 1788; http://freepages.genealogy.rootsweb.ancestry.com/~dutillieul/ZOtherPapers/NewS&WJ18Aug1788.html;  (London) Evening Post, March 28, 1789; (London) World, March 31, 1789; Pancratia, or a History of Pugilism (London, Hildyard, 1812), 81; Leslie A. Marchand, Lord Byron: Letters and Journals, volume 3, ""Alas the Love of Women"" (London: John Murray, 1974), 133;  Albert Jack, Pop Goes the Weasel: The Secret Meanings of Nursery Rhymes (London: Allen Lane, 2008). The bout lasted 48 minutes. After being struck a solid blow, Earle fell backwards and struck his head against a post or rail. He died. Prizefights were illegal, so the crowd fled. Tyne was convicted of manslaughter, and fined one shilling. The Prince Regent, the future King George IV, was present at the bout. Like the other spectators, the Prince quickly left the scene. To reduce the ensuing scandal, in 1789, the Prince awarded an annuity of œ20 to Earle's mother. This chain of events apparently inspired the rhyme, ""Georgie Porgie, puddin' and pie/Kissed the girls and made them cry/When the boys came out to play/Georgie Porgie ran away."" The explanation is this. George was notoriously fat; hence, he had eaten too many puddings and pies. From 1782 to 1803, George's mistresses included Frances Twysden Villiers, wife of George Villiers, 4th Earl of Jersey. George's wives (Caroline, from whom he was separated, and Maria Fitzherbert, to whom George had married in a civil ceremony) were unhappy about George's relationship with Frances Villiers. Thus, the rhyme's line about making the girls cry, and also the rhyme's subsequent association with the seventeenth century dukes of Buckingham, both of whom were named George Villiers, same as Lady Jersey's husband. Finally, when the boys came out to play (that is, box) and Earle died, the Prince Regent ran away."; ;Pro;Brain injury;Ring;Fall: Manslaughter; ;
ND;10-Oct;1788;KO; ;Thomas Standen; ; ;ND;Steyning Fair;West Sussex;England;ND;"(London) Lloyd's Evening Post, October 17, 1788; Hampshire (England) Chronicle, October 26, 1788. The jury ruled death was accidental."; ;Pro; ;Ring;Misadventure;;
William Ward (Bill Warr);5-May;1789;KO;;Edwin Swaine; ;Y;swaine;Enfield;London;England;Heavy;"(London) Whitehall Evening Post, June 4, 1789; Pierce Egan, Boxiana, London, 1812, 118;  ""William Ward, a boxer, convicted of manslaughter for killing his opponent,"" http://www.exclassics.com/newgate/ng370.htm;  Old Bailey Proceedings Online (www.oldbaileyonline.org), ""William Ward, Killing: Murder, 3rd June, 1789,"" Ref: t17890603-17. Swaine was a blacksmith who challenged Ward, a professional, to a fight, for a prize of a guinea. Swaine took Ward by the hair, and began punching him in the face. They then went to the ground, and the first round ended. They got back up, and Ward began striking back. Swaine said he wanted to stop, and began walking away. Ward followed Swaine, and struck him again, once in the stomach and a second time to the head. Swaine went down, and was dead on the spot. The surgeon did not do an autopsy, but said that the cause of death was a blow to the temple. Ward was arrested, convicted of manslaughter, and sentenced to three months imprisonment, plus a one-shilling fine. An artist's depiction of the mill appears in Andrew Knapp and William Baldwin, The Newgate Calendar, vol. 3 (London: J. Robins and Co., 1825), 145."; ;Pro;;Ring;Blows: Manslaughter; ;
James Wilkins;28-Jul;1789;KO; ;George Grift; ; ;grift;London;London;England;ND;London Chronicle, July 30, 1789. Wilkins was convicted of manslaughter, and sentenced to nine months imprisonment and a one-shilling fine. The stiff sentence was because the boxing match had been occasioned by foul blows.; ;Pro; ;Ring;Blows: Manslaughter;;
John Tombs;21-Feb;1791;KO; ;Robert Wilson; ; ;wilson;Kempsford;Gloucestershire;England;ND;"Hereford (England) Journal, March 8, 1791; (London) Star, March 9, 1791. Wilson was struck in the throat and he died. Cause of death was a ruptured artery in the brain. Tombs was charged with manslaughter.";;Pro;Brain injury;Ring;Blows: Manslaughter;;
James Smith;30-Aug;1791;KO ; ;Thomas Daniel; ; ;daniel;Annapolis;Maryland;USA;ND;Vermont Journal, October 4, 1791. ?In a boxing match, on Tuesday last, the latter unfortunately lost his life by a blow... Thhe inquest, which sat on the body, gave a verdict of manslaughter.?;;Pro;Brain injury;Ring;Blows: Manslaughter;;
Thomas Peak;Mar/;1794;KO; ;John Barlow;;;barlow;Hanmer;Flintshire (Wrexham);Wales;ND;"National Archives of Wales, Crime and Punishment Database, http://www.llgc.org.uk/sesiwn_fawr/index_s.htm. ""Manslaughter of John Barlow during a fight. The deceased challenged to fight 'any man of his weight for a shilling' who were then drinking at an inn called The Welsh Harp."" The sentence was to be burned in the hand and one month's imprisonment.
"; ;Pro; ;Ring;Blows: Manslaughter;;
Taherner;25-Aug;1795;KO; ;Wardle; ; ;wardle;Stramshall;Staffordshire;England;ND;Bath (England) Chronicle and Weekly Gazette, September 2, 1795. Cause of death was a blow. ;;Pro; ;Ring;Blow;;
Proctor;10-Oct;1795;KO;;Reed; ; ;proctor;Fleet Prison;London;England;ND;Bath (England) Chronicle and Weekly Gazette, October 14, 1795. Fleet Prison was both a debtor's prison and the surrounding neighborhood. ; ;Pro; ;Ring;;;
Joseph Sayers;Mar/;1797;KO; ;Richard Criss; ; ;criss;Falmer;Sussex;England;ND;(London) Whitehall Evening Post, March 21, 1797. Sayers was acquitted at the Sussex Assizes.;;Pro;;Ring ;Misadventure;;
Thomas Niblett;4-Mar;1798;KO;;William Turner; ;;turner;Mile-End;London;England;ND;"(London) London Packet or New Lloyd's Evening Post, July 6, 1798; London Times, July 7, 1798; Old Bailey Proceedings Online (www.oldbaileyonline.org), HENRY NIBLETT, killing: murder, 4th July, 1798. The Proceedings of the Old Bailey Ref: t17980704-49. This was a grudge match that was fought as a prizefight. The bout lasted between twenty to thirty minutes. Niblett dominated from the beginning, and during the last couple breaks, Turner asked to quit. However, his second would not let him, and damned any man who said otherwise. So, Turner kept going up to the mark. In the last round, Turner threw Niblett with a cross-buttock. Niblett stood back up. Then, unexpectedly, Turner's knees began shaking, and blood began pouring from his mouth and nose. Niblett struck Turner a couple of times. Turner fell and did not get up. Turner was carried home, and he died about a quarter hour after arrival. Cause of death was attributed to the strain of throwing Niblett and the latter was acquitted."; ;Pro;Brain injury;Ring;Misadventure; ;
ND;14-May;1800;KO;;Collins; ;Y;collins;Newington;London;England;ND;"Anonymous, Sporting Magazine, v. 16 (Apr.-Sept. 1800), London, Rogerson & Tuxford, 1800, p. 89; London Times, May 14, 1800. Collins was a construction worker, and his opponent was an Irish fisherman. The two men had a dispute, so they decided to settle it with a prizefight at noon. The bout took place outside the Elephant and Castle, and it lasted 1 hour, 20 minutes. Finally, Collins was struck on the jugular and he died almost instantly. The Irishman died soon after. "; ;Pro;;Soon after;; ;
Collins;14-May;1800;WKO;;ND ; ;Y;ND;Newington;London;England;ND;"Anonymous, Sporting Magazine, v. 16 (Apr.-Sept. 1800), London, Rogerson & Tuxford, 1800, p. 89; London Times, May 14, 1800. Collins was a construction worker, and his opponent was an Irish fisherman. The two men had a dispute, so they decided to settle it with a prizefight at noon. The bout took place outside the Elephant and Castle, and it lasted 1 hour, 20 minutes. Finally, Collins was struck on the jugular and he died almost instantly. The fisherman was carried to his rooms, where he died a week later."; ;Pro;;Ring;; ;
John Fitch;9-Jul;1800;KO; ;Private Davey; ; ;davey;Chelmsford;Essex;England;ND;(London) Morning Post and Gazetter, July 14, 1800. The two men fought one bout that ended in a draw. The man holding the stakes said he wouldn't pay unless they fought to a finish. So they fought 20 more minutes, until Davey collapsed. Davey died, and Fitch and the man holding the stakes were arrested.;;Pro;;Ring;Blows: Manslaughter;;
John Holmer;13-Sep;1801;KO; ;James Nevill; ; ;nevill;Middleton;Northamptonshire;England;ND;"Derby (England) Mercury, September 24, 1801; London Times, September 28, 1801. The two men quarreled, and they decided to settle the dispute next evening, with a prize fight. After about fifteen minutes fighting, Holmer struck Nevill on the temple, and Nevill died. Nevill was charged with manslaughter."; ;Pro;;Ring;Blows: Manslaughter;;
Colstone;22-Sep;1801;KO; ;R. Dudley; ; ;dudley;Cosby;Lancashire;England;ND;(Suffolk, England), Bury and Norwich Post, September 29, 1801.  Dudley was knocked down by a blow to the side. He died next day.; ;Pro; ;Ring;;;
S. Houghton;20-Oct;1801;KO;;B. Dickenson; ;Y;dickenson;Great Ponton;Lincolnshire;England;ND;Edinburgh (Scotland) Advertiser, November 13, 1801. Houghton was a horse breaker, and Dickinson was a tailor. This was probably a grudge match fought under prize ring rules, as Houghton was said to be about 70 years of age.; ;Pro;;Ring;; ;
Anthony Bridgen;ND;1802;KO; ;William Hammond; ; ;hammond;Duncombe;Sussex;England;ND;(Suffolk, England) Bury and Norwich Post, August 10, 1802. Cause of death was concussion of the brain. Bridgen was convicted, and fined a shilling.; ;Pro; ;Ring;;;
Jacob Halsey;13-Nov;1802;KO; ;Patrick Dorsey; ;  ;dorsey;New York;New York;USA;ND;(Albany, New York) Gazette, November 25, 1802. Dorsey collasped after a blow to the temple, and died. Halsey was charged with manslaughter.; ;Pro; ;Ring;Blows: Manslaughter;;
ND;May/;1803;KO; ;ND ; ; ;ND;Stretford;Lancashire;England;ND;Hampshire (England) Telegraph, May 22, 1803.; ;Pro; ;Ring; ;;
James Kay;Aug/;1803;KO; ;John Alcock; ; ;alcock;Chelmsford Barracks;Essex;England;ND;(London, England) Morning Chronicle, September 7, 1803. The two men were privates in the Lancashire Militia. They boxed, and Alcock died. The jury ruled manslaughter.; ;Pro; ;Ring;Blows: Manslaughter;;
Samuel Goodman;10-Oct;1803;KO; ;Richard Toon; ; ;toon;Spa Fields;London;England;ND;"(London, England) Morning Chronicle, November 2, 1803; Old Bailey Proceedings Online, Samuel Goodman, Killing > manslaughter, 26 October 1803, t18031026-44. The prize was half a guinea a side. The men fought for about half an hour. Toon was knocked down, but staggered to his feet. The crowd screamed for Goodman to knock him down, but Goodman said he would not do it. Instead, he put on his coat, and left. Toon was carried home, where he died. Goodman was sentenced to six months, and fined 6s. 8d."; ;Pro; ;Ring;Blows: Manslaughter;;
ND;2-Jul;1804; KO; ;ND ; ; ;ND;City Road;London;England;ND;Hampshire (England) Chonicle, July 8, 1804. The jury ruled manslaughter.; ;Pro; ;Ring; ;;
Dennis Dillon;21-Jul;1805;KO;;Patrick Michael Lennard;; ;lennard;Marlyebone;London;England;ND;"London Times, July 25, 1805; London Times, July 26, 1805; (London, England) Cobbett's Weekly Political Register, August 10, 1805; Old Bailey Proceedings Online (www.oldbaileyonline.org), DENNIS DILLON, killing : murder, 18th September, 1805. The Proceedings of the Old Bailey Ref: t18050918-46. The men were coworkers who decided to settle a dispute with a prizefight. The winner was to get half a guinea.The bout lasted an hour and 43 minutes. At the end of the fight, both men collapsed at about the same time; certainly, it was not clear to the onlookers who struck whom. Nonetheless, it was clear that it was Lennard who did not get up. While performing autopsy, the surgeon did not find any blood on the brain or in the abdomen. Therefore, the jury ruled not guilty."; ;Pro; ;Ring;Misadventure;;
Courtney;Oct/;1807;KO; ;Jonas; ; ;jonas;Dresden Green;Buckinghamshire;England;ND;"(London, England) Morning Chronicle, November 24, 1807; (Oxford, England) Jackson's Oxford Journal, November 28, 1807. The bout lasted an hour and a half. At the end of it, neither man was able to continue, so it was declared a draw. The two men were to meet again in a month. However, a month later, Flowers was still unable to walk without assistance, and Jonas had died of injuries."; ;Pro; ;Later; ;;
James Ayres;30-Jun;1809;KO;13;William Dormer; ;Y;dormer;Hackney;London;England;ND;"Hampshire (England) Chronicle, June 11, 1809; Old Bailey Proceedings Online (www.oldbaileyonline.org), JAMES AYRES, WILLIAM ROBINSON, killing : murder, 26th June, 1809. The Proceedings of the Old Bailey Ref: t18090626-29; Bob Mee, Bare Fists: The History of Bare-Knuckle Prize Fighting (Woodstock, New York: Overlook Press, 2001), 76. The youths (they were all in their late teens) decided to settle a quarrel with a prize fight. Struck below the right ear, Dormer fell down. He stood up, and then collapsed. He died soon after. It was a fair fight, according to witnesses, though without much skill on either side. The surgeon said cause of death was bleeding on the brain. Ayres' defence was that he was averse to the bout, as his mother had died shortly before. The jury ruled guilty, and judge sentenced Ayres to six months and a one-shilling fine, and his second was sentenced to four months and a one-shilling fine."; ;Pro;Brain injury;Ring;Blows: Manslaughter; ;
Huskinson;27-Oct;1809;KO;20;Solomon Purdy;; ;Hampton;London;England;ND;;(Suffolk, England) Bury and Norwich Post, October 31, 1809. Purdy was struck behind the ear, and died in less than half an hour.; ;Pro;Brain injury;Ring;;;
Haynes;11-Dec;1809;KO;;Holmes;;;holmes;Sallowfield;Hampshire;England;ND;Edinburgh Annual Register for 1809, Vol. 2 (London: James Ballantyne and Co., 1811), 311-312. Holmes was knocked down by a blow below the right ear, and he did not get up.; ;Pro;;Ring;; ;
Stringer Tonks;23-Jan;1811;KO;31;Charles Beale; ;Y;beale;Rollestone;Staffordshire;England;ND;"(London, England) Morning Chronicle, January 31, 1811; Plattsburgh (New York) Republican, May 31, 1811, cited at http://esf.uvm.edu/vtbox/Historical.html. The men decided to settle a dispute with a prize fight. Although prize fighting was illegal, the constable was one of the stake-holders at the fight. Beale was struck below the ear, and died."; ;Pro;Brain injury;Ring;; ;
John Pedlar;24-Apr;1811;KO; ;John Bartlett; ; ;bartlett;Drury Lane;London;England;ND;Old Bailey Online,  JOHN PEDLAR, Killing > manslaughter, 29th May 1811,  t18110529-57. Both men had been drinking, and their fight took place inside rooms at the Red Lion and Still public house. The prize was a pound note. The boxers stripped to the waist while another man drew a line on the ground. The boxers stepped to the mark, and shook hands. They fought several short rounds, with Bartlett doing most of the falling. The fight was stopped. After the fight, Bartlett said he could not urinate. A surgeon catheterized him, but he got worse, and died. Autopsy showed death was caused by a rupture of the bladder and laceration of one of the intestines. The surgeon said that this was probably pre-existing, and the court ruled not guilty.; ;Pro;Internal injuries;Soon after;Pre-existing condition;;
Weilmot;25-Oct;1811;KO;24;Spartan; ; ;spartan;Longford;Buckinghamshire;England;ND;Northampton (England) Mercury, October 25, 1811. Cause of death was a fall.The jury ruled manslaughter.; ;Pro; ;Ring;Fall;;
ND;12-Dec;1812;KO;;White; ;;white;Wickwar;South Gloucestershire;England;ND;The Sporting Magazine, Volume 39,  1812, p. 242. The wager was 3 shillings (at 20 shillings to the pound), and the fight lasted about an hour. White walked home after the fight, a distance of about three miles, and that night, he became unconscious. He died the following Saturday. Cause of death was a burst blood vessel in the brain. ; ;Pro;Brain injury;Later;Blows: Manslaughter; ;
Michael Graghn;4-Sep;1813;KO; ;John Shea; ; ;shea ;Plumstead Common;London;England;ND;(London) Morning Post, September 7, 1813. The fight was for a prize of a one-pound note. Gragn dominated throughout the fight, and Shea died of injuries. The coroner's jury ruled manslaughter.;;Pro; ;Ring;Blows: Manslaughter;;
